type,amount,oldbalanceOrg,newbalanceOrig,isfraud
CASH_OUT,6782,22551,48022,0
PAYMENT,67173,48068,81924,0
DEBIT,73765,93608,18782,0
CASH_IN,23474,35561,51782,0
CASH_OUT,51147,2892,72144,0
PAYMENT,30242,99502,98651,0
CASH_OUT,61507,24395,55013,0
CASH_OUT,74034,18756,72036,0
CASH_IN,51458,87710,35342,0
DEBIT,84527,34651,85745,0
CASH_OUT,911,66333,20977,0
PAYMENT,87990,73745,57396,0
TRANSFER,83607,49306,50021,0
CASH_OUT,2891,21346,69057,0
CASH_OUT,29873,28024,66836,0
CASH_IN,5632,94950,27075,0
DEBIT,1388,40818,89515,0
TRANSFER,83178,5947,30802,0
PAYMENT,93857,75153,77761,0
TRANSFER,71196,86240,77017,0
PAYMENT,45211,94238,86753,0
DEBIT,59261,67428,55822,0
PAYMENT,72582,29754,51603,0
CASH_IN,39265,63355,80291,0
CASH_IN,63222,58241,90450,0
CASH_IN,50220,68960,35592,0
CASH_IN,22509,13418,56006,0
TRANSFER,51638,95422,26269,0
DEBIT,61370,88593,50138,0
PAYMENT,4613,55184,62398,0
PAYMENT,93319,4833,90091,0
CASH_IN,85483,75430,19874,0
CASH_IN,12642,41833,57228,0
CASH_OUT,30617,565,62670,0
DEBIT,91883,40180,7925,0
TRANSFER,65766,18402,3107,0
PAYMENT,47004,42845,86388,0
CASH_OUT,63392,75851,95719,0
CASH_OUT,70364,12834,27617,0
PAYMENT,56354,67850,74258,0
TRANSFER,53785,37180,50075,0
CASH_OUT,7359,3883,22631,0
CASH_OUT,71164,75587,62444,0
DEBIT,27474,11695,97158,0
TRANSFER,42634,23123,7883,0
CASH_OUT,37354,58481,19708,0
TRANSFER,83801,73438,46221,0
PAYMENT,24309,17573,17197,0
CASH_IN,47985,94910,21134,0
CASH_OUT,1472,56494,33550,0
DEBIT,81451,12288,14642,0
PAYMENT,90466,46978,20439,0
TRANSFER,81798,72420,97779,0
PAYMENT,40591,76095,24583,0
CASH_OUT,71299,54672,93885,0
TRANSFER,14185,61821,79538,0
CASH_IN,6201,83661,62014,0
PAYMENT,83444,69224,19523,0
CASH_OUT,84528,89405,70543,1
DEBIT,80168,54796,85971,0
TRANSFER,66547,44706,90629,0
PAYMENT,47655,4023,76830,0
PAYMENT,23293,82636,45538,0
CASH_IN,86981,36735,47310,0
CASH_IN,92769,72959,10908,0
DEBIT,59133,39218,57290,0
DEBIT,30034,12213,53634,0
CASH_OUT,49640,98694,12699,0
CASH_OUT,30744,28460,66912,0
DEBIT,525,64680,14255,0
DEBIT,66737,31017,79183,0
TRANSFER,97810,98536,60282,0
CASH_IN,46226,92038,58249,0
CASH_OUT,71843,30990,38176,0
CASH_IN,58765,19515,8163,0
CASH_IN,27866,29991,54210,0
DEBIT,73880,7634,71979,0
TRANSFER,24172,77034,78860,0
PAYMENT,6018,76452,21143,0
TRANSFER,7997,29377,4920,0
TRANSFER,62542,33001,82911,0
CASH_IN,96512,1391,37996,0
TRANSFER,3342,65206,11748,0
CASH_OUT,66333,42215,94071,0
CASH_IN,39000,79720,81251,0
CASH_OUT,9883,27114,47252,0
PAYMENT,82552,11882,63179,0
CASH_IN,85771,17273,6450,1
PAYMENT,36454,45647,52756,0
CASH_IN,35350,82665,50235,0
DEBIT,5043,64892,90546,0
TRANSFER,73334,42679,20,0
DEBIT,15699,427,80253,0
PAYMENT,87144,96952,9664,0
TRANSFER,95249,66267,66635,0
CASH_IN,76,799,23225,0
TRANSFER,45256,55659,68173,0
CASH_OUT,7543,94409,85333,0
TRANSFER,80649,7025,40225,0
CASH_OUT,70162,14481,10807,1
TRANSFER,59668,25411,83274,0
CASH_OUT,38508,96894,6402,0
PAYMENT,11782,14961,4521,0
DEBIT,89395,21767,63165,0
CASH_IN,49046,51690,8382,0
TRANSFER,58541,52870,15065,0
DEBIT,12950,36135,85470,0
CASH_IN,16942,64514,14425,0
CASH_IN,95315,86928,13111,0
CASH_OUT,56837,78798,40799,0
PAYMENT,61441,70765,53257,0
PAYMENT,24658,23772,61177,0
DEBIT,32976,18799,81046,0
PAYMENT,27787,23555,37851,0
TRANSFER,32577,92152,8816,0
PAYMENT,17184,19333,77853,0
DEBIT,42608,4261,2175,0
PAYMENT,59209,69002,11341,0
TRANSFER,13808,46553,63908,0
CASH_OUT,65374,3088,25654,0
DEBIT,17568,45783,60895,0
CASH_OUT,61094,1115,59696,0
CASH_OUT,44247,70114,57889,0
CASH_OUT,65507,68126,87144,0
CASH_IN,188,72908,83115,0
CASH_IN,86016,69109,30194,0
CASH_OUT,17128,2978,34837,0
DEBIT,22626,9422,68894,0
TRANSFER,808,43626,84358,0
TRANSFER,7611,89233,41576,1
PAYMENT,25373,56174,19727,0
DEBIT,2805,96356,34579,0
CASH_IN,97472,37743,96554,0
CASH_OUT,45274,70461,16555,0
PAYMENT,72843,57199,53294,0
TRANSFER,3094,29430,49777,0
CASH_IN,95875,28834,5906,0
CASH_IN,76656,24435,40751,0
CASH_OUT,741,87212,69599,0
TRANSFER,1139,55797,74180,0
DEBIT,28032,43554,73678,0
CASH_IN,1615,54555,31644,0
CASH_OUT,77516,85350,33521,0
DEBIT,44140,14716,11564,0
TRANSFER,29275,60261,70640,0
CASH_IN,32340,27528,27299,0
DEBIT,68479,1995,47958,0
DEBIT,15197,22414,56078,0
DEBIT,25801,13844,13421,1
CASH_IN,90446,36659,88747,0
CASH_IN,70620,15522,11202,0
PAYMENT,91972,74034,42185,0
TRANSFER,39877,42322,3685,0
CASH_OUT,903,67638,90197,0
DEBIT,99704,8524,42637,0
PAYMENT,19783,30846,18366,0
CASH_OUT,4249,73643,24276,0
PAYMENT,20873,60096,80946,0
CASH_IN,51425,83804,48239,0
DEBIT,68978,47703,75214,0
CASH_OUT,60440,24399,24575,0
CASH_OUT,1525,75160,41401,0
CASH_OUT,97216,92662,41230,0
CASH_OUT,14615,88667,79424,0
CASH_OUT,56250,48591,82263,0
PAYMENT,5596,20714,68617,0
DEBIT,31196,35877,23021,1
CASH_IN,26938,84106,9449,0
CASH_IN,98274,78018,15657,0
CASH_IN,83097,99854,35059,0
CASH_IN,87039,59136,1532,0
PAYMENT,20721,33414,50805,0
TRANSFER,54972,86576,81551,0
DEBIT,20049,78943,37756,0
CASH_OUT,36571,45468,71880,0
TRANSFER,75493,98841,74642,0
CASH_IN,97881,79702,34206,0
TRANSFER,81405,72108,52168,0
DEBIT,88668,98538,75188,0
CASH_OUT,1587,92508,24550,0
CASH_OUT,28360,46835,6389,1
DEBIT,33808,63333,87897,0
DEBIT,97444,42464,35847,0
CASH_IN,81427,22923,79239,0
CASH_OUT,10795,61855,18642,0
TRANSFER,72237,67445,36509,0
PAYMENT,61967,98384,79417,0
PAYMENT,65441,67619,49237,0
DEBIT,17307,46146,15414,0
CASH_IN,71904,60032,63176,0
PAYMENT,63782,17140,79865,0
CASH_OUT,19591,2670,62059,0
DEBIT,55202,36519,49150,0
TRANSFER,1472,44512,88367,0
DEBIT,64183,57811,41091,0
TRANSFER,15521,14691,73124,0
DEBIT,76116,34262,903,0
DEBIT,48675,54892,54235,0
DEBIT,44424,25595,58565,0
TRANSFER,81020,57207,55342,1
TRANSFER,72583,33440,42723,0
DEBIT,93675,8630,35572,0
PAYMENT,13396,31250,17610,0
CASH_IN,54470,94334,34052,0
CASH_IN,6231,98748,98993,0
CASH_IN,23484,77518,87063,0
TRANSFER,21055,74191,37550,0
TRANSFER,91329,64791,54033,0
PAYMENT,4932,84118,29011,1
CASH_IN,22716,63753,34764,0
CASH_IN,42781,60520,97540,0
DEBIT,52345,4008,53533,0
TRANSFER,98025,44464,24064,0
CASH_IN,52959,496,49581,0
PAYMENT,70724,99767,28702,0
PAYMENT,95568,23212,85701,0
CASH_IN,15250,20637,8631,0
TRANSFER,91766,45227,87388,0
PAYMENT,2726,82413,70043,0
DEBIT,16584,83346,66063,0
PAYMENT,83265,9884,28981,0
CASH_OUT,73727,68259,35764,0
CASH_OUT,44076,49810,50513,0
TRANSFER,61836,4761,99007,0
CASH_IN,20223,73166,66198,0
TRANSFER,71926,16375,24940,0
TRANSFER,66161,25218,71792,0
TRANSFER,50916,30565,28432,0
TRANSFER,473,32975,8367,0
DEBIT,31983,27073,25511,0
DEBIT,74704,69726,8573,0
PAYMENT,20661,1883,15582,0
CASH_OUT,68704,68422,5378,0
TRANSFER,20018,49629,65296,0
PAYMENT,70484,64170,13500,0
CASH_OUT,38195,74489,65841,0
CASH_IN,87934,8381,21881,0
DEBIT,74427,23238,70233,0
CASH_OUT,71149,13795,51542,0
CASH_IN,34990,95964,65285,0
CASH_OUT,22514,62999,59547,0
DEBIT,54980,49907,62151,0
DEBIT,16776,9638,7222,0
PAYMENT,93932,70467,7933,0
TRANSFER,11705,42623,83385,0
CASH_OUT,17806,38492,89772,0
CASH_OUT,42553,26411,98706,1
CASH_IN,14569,20534,78437,0
DEBIT,33149,29181,6940,0
CASH_OUT,8812,19996,84590,0
DEBIT,73853,72089,59145,0
CASH_OUT,40215,83609,43610,0
PAYMENT,98760,72666,57520,0
TRANSFER,34169,29405,4544,0
CASH_OUT,11526,71325,90854,0
DEBIT,50502,28930,54812,0
PAYMENT,29096,17529,71610,0
CASH_OUT,30490,53546,51500,0
CASH_IN,52101,7942,39618,0
TRANSFER,47776,7548,99054,0
CASH_OUT,38747,18296,25444,0
PAYMENT,9275,51016,85982,0
CASH_IN,71000,97780,94079,0
PAYMENT,91727,296,56586,0
PAYMENT,15396,67945,24789,0
CASH_IN,37435,59980,1617,0
PAYMENT,43264,56782,3333,0
CASH_IN,89873,34229,40002,0
CASH_OUT,53644,96382,63620,0
CASH_IN,86727,53444,87688,0
CASH_IN,47672,35036,89627,0
TRANSFER,86998,39322,511,0
CASH_IN,99297,27167,37850,0
CASH_IN,87537,51667,82172,0
CASH_OUT,75462,94527,86053,0
TRANSFER,10153,83337,31786,0
DEBIT,91401,51468,74356,0
CASH_OUT,15591,72894,36244,0
CASH_OUT,67453,53084,74714,0
DEBIT,29434,63138,67261,0
CASH_IN,88854,22588,18477,0
PAYMENT,41994,62901,46533,0
TRANSFER,41515,17671,34469,0
PAYMENT,62709,83038,8496,0
DEBIT,26967,90664,12270,0
CASH_OUT,25474,31645,76008,0
CASH_OUT,23659,7637,20724,0
TRANSFER,42075,660,30416,0
CASH_OUT,92671,6922,35575,0
CASH_OUT,34768,93697,81190,0
TRANSFER,5606,44721,76614,0
TRANSFER,16384,57256,93566,0
DEBIT,3785,69506,73108,0
CASH_OUT,27398,68943,17408,0
CASH_OUT,21039,27843,19359,0
DEBIT,83991,9046,8698,0
CASH_IN,53649,89336,70392,0
CASH_IN,14655,63985,93063,0
CASH_IN,31115,80083,39492,0
DEBIT,13678,96925,74781,0
CASH_OUT,15970,30346,43634,0
DEBIT,11367,88284,42864,0
DEBIT,64614,91384,94482,0
CASH_IN,51806,53526,37355,0
PAYMENT,15814,73143,37690,0
CASH_OUT,14636,36787,37814,0
CASH_IN,28142,33583,31645,0
PAYMENT,7961,12563,84814,0
PAYMENT,6459,46060,72739,0
TRANSFER,19075,33690,56630,0
CASH_OUT,9140,94712,48171,0
PAYMENT,89370,14925,21658,0
CASH_IN,62297,86787,15797,0
TRANSFER,51712,83184,58799,0
CASH_OUT,37003,20108,98342,0
DEBIT,31885,76515,96494,0
CASH_IN,6064,68258,52236,0
PAYMENT,99819,5355,6265,0
PAYMENT,48527,46069,72134,0
CASH_IN,76378,94335,82678,0
PAYMENT,29680,54471,53494,0
TRANSFER,49122,32705,52268,0
CASH_OUT,88398,43909,26998,0
TRANSFER,89166,88606,91426,0
PAYMENT,28317,53739,94414,0
DEBIT,67097,76820,61339,0
CASH_OUT,47932,87273,14306,0
CASH_OUT,63090,23241,64006,0
CASH_IN,93358,27414,47345,0
CASH_IN,79345,50818,11885,0
DEBIT,26322,20895,43826,0
CASH_OUT,66995,92307,55597,0
DEBIT,57618,62409,7443,0
CASH_IN,89972,55324,97375,0
CASH_IN,40287,66920,17084,0
CASH_OUT,31561,53555,89447,0
TRANSFER,89823,65453,4383,0
PAYMENT,56607,22689,92313,0
CASH_IN,45222,64356,34361,0
CASH_IN,9647,93011,80294,0
TRANSFER,43268,8252,61331,0
TRANSFER,35703,30844,95057,0
DEBIT,9834,95687,20529,0
DEBIT,26960,23365,58574,0
PAYMENT,23498,6026,88627,1
PAYMENT,225,98303,96917,0
CASH_OUT,11533,28523,30932,0
DEBIT,75910,10482,1908,0
CASH_IN,68699,48888,30358,0
DEBIT,23844,50110,30412,0
CASH_IN,34484,90644,83710,0
TRANSFER,43076,493,81032,0
DEBIT,99881,56194,2928,0
TRANSFER,10410,82001,65158,0
PAYMENT,10355,39767,30632,0
PAYMENT,33906,29550,32309,0
CASH_OUT,85440,13833,9280,0
DEBIT,28909,2970,40449,0
TRANSFER,28239,98315,87171,0
CASH_IN,5593,95494,26957,0
PAYMENT,4907,82681,36895,0
PAYMENT,71547,49177,70499,0
CASH_IN,4577,67342,93057,0
TRANSFER,74817,71200,98151,0
TRANSFER,77249,61501,21695,0
DEBIT,13339,28900,74893,0
DEBIT,71802,14126,63123,0
CASH_OUT,238,70690,25176,0
PAYMENT,90292,87744,18409,0
DEBIT,82224,79303,56967,1
TRANSFER,37062,85579,987,0
CASH_IN,57779,47994,54462,0
TRANSFER,46042,67061,67501,0
PAYMENT,88731,99064,96854,0
TRANSFER,33696,16978,26015,0
CASH_OUT,76991,56344,94727,0
PAYMENT,98812,46648,66404,0
CASH_IN,63271,1055,50281,0
CASH_OUT,2819,75582,37146,0
PAYMENT,41795,81214,48231,0
CASH_IN,36557,44876,29032,0
CASH_OUT,42828,92160,28305,1
CASH_OUT,71937,38725,54306,0
PAYMENT,65691,5255,88176,0
DEBIT,79475,74947,18318,0
CASH_OUT,89872,53380,13246,0
CASH_OUT,95537,53333,33844,0
CASH_IN,37343,42459,32602,0
TRANSFER,16586,36163,21584,0
PAYMENT,39415,33971,15169,0
PAYMENT,94010,96771,25968,0
DEBIT,73789,65149,6385,0
DEBIT,31611,84730,73758,0
PAYMENT,67956,19476,25444,0
DEBIT,67366,68580,62497,0
CASH_IN,52126,86593,5362,0
PAYMENT,62904,69050,99254,0
DEBIT,34645,75526,8250,0
PAYMENT,7475,7507,68354,0
TRANSFER,56764,70393,36368,0
CASH_OUT,97985,12118,44109,0
PAYMENT,92860,50529,80589,0
CASH_OUT,85129,68682,57645,0
DEBIT,92701,91937,56997,0
CASH_OUT,38881,54176,27426,0
PAYMENT,62884,91713,39023,0
TRANSFER,77743,4414,59267,0
DEBIT,29521,83030,24892,0
PAYMENT,80970,85973,59232,0
DEBIT,48831,62137,94897,0
CASH_IN,65786,3937,59225,0
CASH_OUT,70177,36731,16007,1
CASH_IN,75145,86862,79777,0
PAYMENT,44472,38665,44858,0
TRANSFER,61392,74510,45073,0
DEBIT,90204,17500,89438,0
CASH_OUT,32584,1750,90042,0
DEBIT,41920,65018,83098,0
PAYMENT,73541,4027,20239,0
DEBIT,25196,5745,62969,0
CASH_OUT,94791,61731,13065,0
PAYMENT,22823,86984,41291,0
DEBIT,78822,28451,38805,0
TRANSFER,85535,93743,98831,0
PAYMENT,78292,71474,18443,0
PAYMENT,18567,61536,9290,0
TRANSFER,28070,12150,211,0
CASH_IN,58876,13406,83634,0
CASH_OUT,72114,19781,19072,0
CASH_IN,84587,57417,43290,0
DEBIT,6090,18325,85186,0
TRANSFER,13864,68684,15115,0
CASH_IN,67705,94415,5149,0
PAYMENT,27035,73469,41992,0
DEBIT,52992,9436,17716,0
DEBIT,41091,17669,97724,0
CASH_IN,4378,72010,13621,0
CASH_IN,99631,76764,6820,0
TRANSFER,27104,99074,42800,0
CASH_OUT,46050,1843,55043,0
CASH_IN,66776,65609,30399,0
CASH_IN,83063,50812,14002,0
PAYMENT,24001,16059,43098,0
DEBIT,1311,86269,45511,0
CASH_OUT,28620,40768,53243,0
PAYMENT,81473,25395,28750,0
TRANSFER,34688,20202,91610,0
TRANSFER,24476,13273,17310,0
CASH_IN,80450,48889,55398,0
CASH_IN,40885,98635,82542,0
TRANSFER,26091,73048,75207,0
CASH_IN,24364,93767,44345,0
CASH_OUT,93307,88810,93430,0
CASH_IN,18310,45510,91729,0
DEBIT,64394,87945,51843,0
CASH_IN,95037,70649,10222,0
PAYMENT,60902,2881,89322,0
CASH_OUT,35535,45913,31509,0
PAYMENT,26542,84785,386,0
PAYMENT,6474,65037,64334,0
DEBIT,16572,62457,67170,0
CASH_OUT,55524,35343,40878,0
CASH_OUT,74229,62389,69669,0
CASH_OUT,32644,78250,38349,0
CASH_OUT,70,8656,21952,0
CASH_OUT,9279,5741,90352,0
DEBIT,63153,16661,21529,0
CASH_IN,23075,97091,71303,0
PAYMENT,2905,28690,41521,0
CASH_OUT,80869,32833,18383,0
CASH_IN,12362,71240,4901,0
CASH_IN,49747,77711,42889,0
PAYMENT,96436,57141,14633,0
DEBIT,32026,78232,62244,0
TRANSFER,61314,39023,19163,0
TRANSFER,11972,40209,59019,0
CASH_IN,33312,93590,10707,0
PAYMENT,85392,86612,88112,0
TRANSFER,4021,80522,83597,0
CASH_IN,19792,14440,45101,0
DEBIT,67701,7960,44706,0
TRANSFER,39735,22462,77084,0
CASH_IN,9206,17821,15115,0
CASH_IN,43469,57772,75379,0
CASH_OUT,87255,27258,39979,0
DEBIT,78873,92889,40641,0
CASH_OUT,32779,88952,69377,0
PAYMENT,24710,62524,6416,0
CASH_OUT,80366,22115,10633,0
CASH_OUT,76437,46433,594,0
TRANSFER,5279,90504,14393,0
CASH_IN,43890,88267,35380,0
DEBIT,8330,88321,45056,0
CASH_OUT,49599,79364,88279,0
DEBIT,76286,70077,97507,0
CASH_OUT,35907,40644,4861,0
PAYMENT,58575,62643,36126,0
CASH_OUT,30940,13311,80382,0
TRANSFER,57243,30531,91713,0
CASH_IN,82831,14588,33682,0
PAYMENT,14390,49416,18228,0
CASH_OUT,76906,12380,24009,0
DEBIT,70944,42645,94,0
PAYMENT,55840,17818,80636,0
PAYMENT,5539,30857,52221,0
CASH_OUT,94608,21711,98453,0
PAYMENT,82997,5097,17430,0
DEBIT,49188,28393,35571,0
PAYMENT,6947,22076,54486,0
DEBIT,39896,84274,90510,0
CASH_OUT,49709,57609,96665,0
CASH_IN,76406,29317,62294,0
PAYMENT,90688,58480,20860,0
CASH_IN,25289,7044,72812,0
DEBIT,38116,71033,66087,0
PAYMENT,79747,55486,8486,0
TRANSFER,40554,55162,83063,0
CASH_IN,9007,79287,49607,0
PAYMENT,85721,29882,9745,0
CASH_IN,40870,54078,78533,0
PAYMENT,3235,58734,18330,0
CASH_OUT,59480,43826,40078,0
CASH_IN,63666,87985,55332,0
TRANSFER,51890,44028,54532,0
TRANSFER,61088,51331,90365,0
DEBIT,88656,98938,43336,0
PAYMENT,76300,32543,8070,0
CASH_IN,56643,29362,1320,0
DEBIT,26665,27315,89043,0
CASH_IN,43611,27746,38921,0
PAYMENT,3124,10057,6589,1
TRANSFER,26512,42915,64409,0
CASH_OUT,49778,21061,92995,0
TRANSFER,48138,51370,15589,0
DEBIT,20038,34157,36375,0
CASH_OUT,55575,11322,43085,0
DEBIT,83133,69812,60840,0
PAYMENT,35343,77842,43200,0
CASH_OUT,3184,34017,98704,0
DEBIT,35408,56792,26732,0
PAYMENT,35939,27742,97047,1
TRANSFER,4331,97136,22426,0
PAYMENT,95981,64808,30982,0
CASH_IN,55431,17629,59720,0
PAYMENT,72645,8245,16746,1
PAYMENT,23770,96950,28514,0
CASH_IN,11370,43870,64889,0
DEBIT,10323,95634,3851,0
DEBIT,86008,64829,19796,0
PAYMENT,5811,10588,76034,0
CASH_IN,14140,442,62798,0
CASH_IN,14281,77339,98388,1
TRANSFER,16085,40721,62985,0
DEBIT,18994,37145,34592,0
CASH_OUT,88105,10599,44845,0
DEBIT,60952,72594,15930,0
DEBIT,12871,82742,21159,0
TRANSFER,98980,77430,95072,0
CASH_OUT,82213,2939,89788,0
TRANSFER,71386,22149,24003,0
CASH_OUT,61257,66567,35139,0
PAYMENT,69111,10208,52452,0
CASH_OUT,20987,66098,22205,0
TRANSFER,50627,49492,96059,0
DEBIT,57483,20951,56955,0
CASH_OUT,86664,48920,7464,0
CASH_OUT,88187,46766,82646,0
CASH_IN,72912,57014,72657,0
DEBIT,92182,28351,9840,0
PAYMENT,15640,84216,40768,0
TRANSFER,20066,49386,9461,0
PAYMENT,7392,87122,20927,0
DEBIT,55749,9308,89934,0
CASH_OUT,81695,59252,98622,1
CASH_OUT,48649,75145,15329,0
DEBIT,59848,95031,15791,0
CASH_OUT,46051,83211,52627,0
CASH_OUT,1002,28064,14372,0
CASH_OUT,72404,53879,92890,0
TRANSFER,67667,8720,48469,0
TRANSFER,27170,42940,87073,0
CASH_IN,45166,79993,34370,0
PAYMENT,51385,68475,51408,0
DEBIT,86452,47113,90941,0
DEBIT,19582,48926,23703,0
DEBIT,4146,38203,15234,0
CASH_IN,61878,88901,7532,0
TRANSFER,82273,5392,35416,0
CASH_IN,32177,25905,72439,0
DEBIT,15489,73508,18242,1
PAYMENT,31386,50385,50254,0
CASH_OUT,4833,30653,79324,0
TRANSFER,70466,91865,35249,0
TRANSFER,19595,84720,95049,0
CASH_IN,17282,14799,85078,0
TRANSFER,26629,60103,32294,0
DEBIT,75079,15052,59784,0
DEBIT,39905,6044,3684,0
CASH_IN,3730,19871,23795,0
DEBIT,19277,89303,60301,0
PAYMENT,15706,20234,69187,0
CASH_IN,29978,21381,10431,0
PAYMENT,53374,17274,75667,0
CASH_OUT,23355,87840,89627,0
PAYMENT,51577,83108,90381,0
CASH_OUT,91239,49892,90027,0
CASH_OUT,61617,50521,55372,0
PAYMENT,19395,91501,70366,0
CASH_IN,83668,83920,94176,0
DEBIT,66910,83391,72870,0
DEBIT,68254,17920,47387,0
CASH_OUT,65435,16702,52927,0
CASH_OUT,78528,1894,9304,0
CASH_IN,82854,30985,17032,0
TRANSFER,32929,28287,91291,0
PAYMENT,90707,73527,59486,0
CASH_OUT,57206,15439,65552,0
DEBIT,79411,94620,73844,0
CASH_IN,505,42235,29654,0
PAYMENT,44765,27659,39244,0
CASH_IN,67694,24976,5942,0
PAYMENT,33334,82643,50697,1
PAYMENT,78939,67865,2693,1
CASH_OUT,1562,68306,56751,0
CASH_IN,51282,56697,81098,0
CASH_IN,35863,70382,6259,0
DEBIT,32934,16651,4942,0
DEBIT,74472,49044,47419,0
CASH_OUT,96397,14633,56105,0
CASH_OUT,23899,79164,65907,0
TRANSFER,54685,569,27383,0
DEBIT,73601,59900,23404,0
PAYMENT,70200,67509,72656,0
CASH_IN,22644,33038,5702,0
CASH_OUT,32373,49088,73883,0
CASH_IN,63762,73177,56332,0
CASH_IN,77014,74466,39419,0
TRANSFER,56408,72216,90576,0
DEBIT,98468,66793,88078,0
CASH_OUT,40728,73786,73844,1
CASH_IN,82926,38138,39242,0
CASH_OUT,26880,63310,34142,0
PAYMENT,37404,28757,96226,1
TRANSFER,52067,70394,7393,0
PAYMENT,79805,79027,69939,0
CASH_OUT,80419,90830,69082,0
CASH_OUT,13026,56151,28893,0
DEBIT,42147,49272,9388,0
CASH_IN,163,6908,62969,0
CASH_IN,7863,10844,36660,0
PAYMENT,12389,51455,89244,0
TRANSFER,15802,68447,24726,0
CASH_IN,38377,74527,79544,0
DEBIT,18110,77108,62996,0
PAYMENT,63466,43066,111,0
PAYMENT,11059,95229,17545,0
DEBIT,796,40004,40168,0
TRANSFER,69914,38333,2379,0
DEBIT,30709,83029,95773,0
TRANSFER,47701,39697,87346,0
DEBIT,37050,17634,41120,0
DEBIT,93000,24561,17809,0
CASH_OUT,57996,18033,52813,0
PAYMENT,38772,72887,74005,0
DEBIT,23610,55063,27967,0
DEBIT,94784,25921,9748,0
CASH_IN,90787,19340,23424,0
PAYMENT,19820,62781,86512,0
CASH_IN,85713,14901,23914,0
PAYMENT,87357,10638,95603,0
CASH_IN,57214,38596,78478,0
DEBIT,20095,86914,19491,0
DEBIT,46864,44324,49454,0
CASH_OUT,74807,88356,70069,0
CASH_IN,84279,90596,51925,0
TRANSFER,39789,32642,89119,0
CASH_OUT,56217,25378,37049,0
CASH_IN,94625,50867,27821,0
CASH_IN,33990,73686,95797,1
CASH_OUT,56127,42875,29945,0
DEBIT,14151,89595,17384,0
CASH_IN,9354,83729,28410,0
DEBIT,15906,64377,77734,0
CASH_OUT,89363,54691,63766,0
DEBIT,29823,93337,94890,0
PAYMENT,84441,64303,7169,0
TRANSFER,65689,60839,40129,0
CASH_IN,10691,49063,97445,0
TRANSFER,72913,91782,3830,1
DEBIT,3238,78343,56306,0
CASH_IN,4592,83071,86940,0
DEBIT,78693,5492,65267,0
PAYMENT,11407,31357,27757,0
CASH_OUT,38809,71838,63867,0
CASH_IN,37021,32314,35650,0
PAYMENT,79193,48697,33766,0
PAYMENT,93264,70283,81478,0
CASH_IN,44274,59567,32419,0
DEBIT,42327,47006,16668,0
PAYMENT,47924,60011,16246,1
TRANSFER,84643,10686,24996,0
PAYMENT,45264,37449,51312,0
DEBIT,40106,61606,3065,0
DEBIT,53795,18891,10467,0
TRANSFER,52354,52115,50646,0
PAYMENT,82653,60719,21007,0
DEBIT,68556,95464,68079,0
CASH_IN,71101,73030,28702,0
CASH_OUT,65613,36723,94369,0
CASH_OUT,28422,29877,75569,1
CASH_OUT,51668,93517,53952,0
PAYMENT,99851,14026,58065,0
TRANSFER,49559,20422,34169,0
DEBIT,11559,9244,16829,0
CASH_IN,71226,33481,60135,0
CASH_IN,25749,89180,4522,0
PAYMENT,21219,58031,85687,0
CASH_OUT,87978,8521,35319,0
PAYMENT,15126,1746,26543,0
TRANSFER,20055,83127,30473,0
TRANSFER,26337,92254,7699,0
DEBIT,35719,68232,68165,0
DEBIT,43627,12012,40455,0
TRANSFER,60149,80224,75692,0
TRANSFER,26915,23457,17441,0
TRANSFER,64158,70572,30716,0
PAYMENT,72613,29960,62175,0
TRANSFER,98105,87695,6834,1
CASH_IN,42929,7910,18179,0
CASH_OUT,83531,2693,26219,0
TRANSFER,92915,15858,15782,0
CASH_OUT,83410,28810,81363,0
PAYMENT,88160,20092,74967,0
CASH_OUT,58456,88779,9496,0
PAYMENT,52438,48700,88867,0
CASH_IN,47904,58105,39238,0
PAYMENT,81159,30505,46025,0
PAYMENT,6457,73228,59886,0
DEBIT,5509,28555,23563,0
TRANSFER,39051,71934,3712,0
TRANSFER,31325,72788,94067,0
CASH_IN,1309,77257,45489,0
CASH_IN,5004,17939,32664,0
TRANSFER,95424,11825,12420,0
DEBIT,81173,90787,54610,0
TRANSFER,7499,24151,5315,0
DEBIT,91657,36,70917,0
CASH_IN,32365,93948,75033,0
CASH_OUT,73815,83707,94576,0
CASH_IN,68377,39051,97911,0
CASH_IN,77365,98297,79030,0
PAYMENT,90359,80738,63910,0
PAYMENT,87183,73596,97288,0
PAYMENT,2006,60071,60972,0
PAYMENT,44397,73601,90893,0
DEBIT,3099,29873,55919,0
TRANSFER,98837,36648,82486,0
CASH_OUT,20669,71468,81288,0
CASH_IN,45188,26470,4132,0
DEBIT,95975,65129,41598,0
CASH_OUT,81278,8328,93812,0
DEBIT,85052,6333,20551,0
DEBIT,70736,46638,92511,0
CASH_IN,70121,11268,68206,0
TRANSFER,34575,70603,74900,0
PAYMENT,89252,17045,26296,0
TRANSFER,22894,40741,90216,0
CASH_IN,17209,88306,18066,0
CASH_IN,60048,42770,28892,0
CASH_IN,57796,7887,75577,0
CASH_OUT,49304,98718,74590,0
TRANSFER,78025,97906,77173,0
TRANSFER,34188,24918,76293,0
DEBIT,12675,35497,64771,0
DEBIT,544,93562,27484,0
DEBIT,91838,61009,77865,0
CASH_IN,36142,11929,99074,0
TRANSFER,36120,61762,27115,0
